time (UTC),longitude (degrees_east),latitude (degrees_north)
2011-12-05T12:00:00Z,110.131,-54.99
2011-12-05T18:00:00Z,110.182,-54.962
2011-12-06T00:00:00Z,110.169,-54.97
2011-12-06T06:00:00Z,110.21,-54.981
2011-12-06T12:00:00Z,110.25,-54.973
2011-12-06T18:00:00Z,110.283,-54.986
2011-12-07T00:00:00Z,110.328,-54.977
2011-12-07T06:00:00Z,110.365,-54.986
2011-12-07T12:00:00Z,110.4,-54.982
2011-12-07T18:00:00Z,110.438,-54.962
2011-12-08T00:00:00Z,110.449,-54.962
2011-12-08T06:00:00Z,110.5,-54.932
2011-12-08T12:00:00Z,110.492,-54.916
2011-12-08T18:00:00Z,110.507,-54.891
2011-12-09T00:00:00Z,110.51,-54.854
2011-12-09T06:00:00Z,110.537,-54.832
2011-12-09T12:00:00Z,110.548,-54.796
2011-12-09T18:00:00Z,110.558,-54.794
2011-12-10T00:00:00Z,110.644,-54.775
2011-12-10T06:00:00Z,110.651,-54.73
2011-12-10T12:00:00Z,110.703,-54.717
2011-12-10T18:00:00Z,110.722,-54.669
2011-12-11T00:00:00Z,110.7,-54.652
2011-12-11T06:00:00Z,110.708,-54.618
2011-12-11T12:00:00Z,110.701,-54.593
2011-12-11T18:00:00Z,110.727,-54.592
2011-12-12T00:00:00Z,110.75,-54.579
2011-12-12T06:00:00Z,110.748,-54.591
2011-12-12T12:00:00Z,110.778,-54.576
2011-12-12T18:00:00Z,110.772,-54.57
2011-12-13T00:00:00Z,110.787,-54.574
2011-12-13T06:00:00Z,110.782,-54.569
2011-12-13T12:00:00Z,110.797,-54.587
2011-12-13T18:00:00Z,110.817,-54.557
2011-12-14T00:00:00Z,110.79,-54.551
2011-12-14T06:00:00Z,110.845,-54.547
2011-12-14T12:00:00Z,110.86,-54.541
2011-12-14T18:00:00Z,110.877,-54.563
2011-12-15T00:00:00Z,110.89,-54.566
2011-12-15T06:00:00Z,110.882,-54.571
2011-12-15T12:00:00Z,110.889,-54.575
2011-12-15T18:00:00Z,110.863,-54.57
2011-12-16T00:00:00Z,110.85,-54.574
2011-12-16T06:00:00Z,110.842,-54.568
2011-12-16T12:00:00Z,110.857,-54.568
2011-12-16T18:00:00Z,110.859,-54.568
2011-12-17T00:00:00Z,110.929,-54.557
2011-12-17T06:00:00Z,110.94,-54.571
